Time,Status,Long,Lat,Alt
1593297912,A,-82.4116467,36.3652463,487.1
1593297912,A,-82.4116315,36.3652268,487.2
1593297912,A,-82.4116162,36.3652072,487.3
1593297912,A,-82.4116007,36.3651877,487.4
1593297912,A,-82.4115853,36.3651682,487.5
1593297912,A,-82.41157,36.3651487,487.6
1593297912,A,-82.4115545,36.365129,487.7
1593297912,A,-82.4115388,36.3651095,487.8
1593297913,A,-82.4115233,36.36509,487.9
1593297913,A,-82.4115078,36.3650705,488
1593297913,A,-82.4114922,36.365051,488
1593297913,A,-82.4114767,36.3650315,488.1
1593297913,A,-82.411461,36.365012,488.2
1593297913,A,-82.4114452,36.3649927,488.3
1593297913,A,-82.4114295,36.3649732,488.3
1593297913,A,-82.4114138,36.3649538,488.4
1593297913,A,-82.411398,36.3649343,488.5
1593297913,A,-82.4113822,36.364915,488.6
1593297914,A,-82.411366,36.3648957,488.7
1593297914,A,-82.4113502,36.3648762,488.8
1593297914,A,-82.411334,36.364857,489
1593297914,A,-82.4113178,36.3648377,489.1
1593297914,A,-82.4113017,36.3648183,489.2
1593297914,A,-82.4112855,36.3647992,489.3
1593297914,A,-82.4112692,36.36478,489.4
1593297914,A,-82.4112527,36.3647607,489.5
1593297914,A,-82.4112363,36.3647417,489.7
1593297914,A,-82.4112197,36.3647223,489.7
1593297915,A,-82.4112032,36.3647033,489.8
1593297915,A,-82.4111865,36.3646842,489.9
1593297915,A,-82.4111697,36.3646652,490.1
1593297915,A,-82.411153,36.364646,490.2
1593297915,A,-82.4111362,36.3646272,490.3
1593297915,A,-82.4111192,36.3646082,490.4
1593297915,A,-82.4111023,36.3645893,490.5
1593297915,A,-82.4110852,36.3645705,490.6
1593297915,A,-82.411068,36.3645518,490.7
1593297915,A,-82.4110508,36.3645332,490.8
1593297916,A,-82.4110337,36.3645145,490.9
1593297916,A,-82.4110163,36.364496,491
1593297916,A,-82.4109988,36.3644775,491.1
1593297916,A,-82.4109815,36.364459,491.2
1593297916,A,-82.410964,36.3644407,491.3
1593297916,A,-82.4109467,36.3644223,491.5
1593297916,A,-82.410929,36.364404,491.6
1593297916,A,-82.4109115,36.3643858,491.7
1593297916,A,-82.4108938,36.3643677,491.8
1593297916,A,-82.410876,36.3643497,491.9
1593297917,A,-82.4108582,36.3643317,492
1593297917,A,-82.4108403,36.3643138,492.1
1593297917,A,-82.4108225,36.3642958,492.1
1593297917,A,-82.4108045,36.3642782,492.2
1593297917,A,-82.4107865,36.3642605,492.3
1593297917,A,-82.4107683,36.3642427,492.4
1593297917,A,-82.4107502,36.364225,492.5
1593297917,A,-82.410732,36.3642075,492.6
1593297917,A,-82.4107137,36.36419,492.7
1593297917,A,-82.4106953,36.3641727,492.8
1593297918,A,-82.410677,36.3641552,492.9
1593297918,A,-82.4106587,36.3641378,492.9
1593297918,A,-82.4106398,36.3641207,493
1593297918,A,-82.4106213,36.3641033,493.2
1593297918,A,-82.4106028,36.3640862,493.2
1593297918,A,-82.410584,36.364069,493.3
1593297918,A,-82.4105655,36.364052,493.4
1593297918,A,-82.4105468,36.3640348,493.5
1593297918,A,-82.4105282,36.364018,493.6
1593297918,A,-82.4105093,36.364001,493.7
1593297919,A,-82.4104907,36.363984,493.8
1593297919,A,-82.4104718,36.3639672,493.9
1593297919,A,-82.410453,36.3639505,494
1593297919,A,-82.4104342,36.3639337,494.1
1593297919,A,-82.4104153,36.363917,494.2
1593297919,A,-82.4103963,36.3639005,494.3
1593297919,A,-82.4103775,36.363884,494.4
1593297919,A,-82.4103585,36.3638673,494.5
1593297919,A,-82.4103397,36.363851,494.6
1593297919,A,-82.4103207,36.3638345,494.7
1593297920,A,-82.4103017,36.3638182,494.8
1593297920,A,-82.4102825,36.363802,494.9
1593297920,A,-82.4102633,36.3637858,494.9
1593297920,A,-82.410244,36.3637697,495.1
1593297920,A,-82.4102248,36.3637537,495.2
1593297920,A,-82.4102055,36.3637375,495.2
1593297920,A,-82.4101862,36.3637215,495.3
1593297920,A,-82.4101668,36.363706,495.4
1593297920,A,-82.4101475,36.3636903,495.5
1593297920,A,-82.4101282,36.3636745,495.6
1593297921,A,-82.4101087,36.3636588,495.7
1593297921,A,-82.4100893,36.3636432,495.8
1593297921,A,-82.4100698,36.3636275,495.9
1593297921,A,-82.4100503,36.363612,496
1593297921,A,-82.4100308,36.3635963,496.1
1593297921,A,-82.4100113,36.3635808,496.2
1593297921,A,-82.4099917,36.3635657,496.3
1593297921,A,-82.409972,36.3635502,496.4
1593297921,A,-82.4099522,36.363535,496.5
1593297921,A,-82.4099323,36.3635197,496.5
1593297922,A,-82.4099127,36.3635045,496.6
1593297922,A,-82.4098927,36.3634893,496.7
1593297922,A,-82.4098727,36.3634742,496.8
1593297922,A,-82.4098527,36.363459,496.9
1593297922,A,-82.4098327,36.3634445,497
1593297922,A,-82.4098125,36.3634297,497.1
1593297922,A,-82.4097923,36.363415,497.2
1593297922,A,-82.4097722,36.3634002,497.3
1593297922,A,-82.4097515,36.3633853,497.4
1593297922,A,-82.4097313,36.3633707,497.4
1593297923,A,-82.4097108,36.3633558,497.5
1593297923,A,-82.4096905,36.3633413,497.6
1593297923,A,-82.4096698,36.3633268,497.7
1593297923,A,-82.4096492,36.3633123,497.8
1593297923,A,-82.4096287,36.3632982,497.9
1593297923,A,-82.4096078,36.3632838,498
1593297923,A,-82.4095872,36.3632695,498.1
1593297923,A,-82.4095663,36.3632548,498.1
1593297923,A,-82.4095455,36.36324,498.2
1593297923,A,-82.4095245,36.3632258,498.2
1593297924,A,-82.4095035,36.3632115,498.4
1593297924,A,-82.4094827,36.3631972,498.4
1593297924,A,-82.4094617,36.3631832,498.5
1593297924,A,-82.4094407,36.3631692,498.6
1593297924,A,-82.4094195,36.3631548,498.7
1593297924,A,-82.4093985,36.363141,498.7
1593297924,A,-82.4093772,36.363127,498.8
1593297924,A,-82.4093558,36.3631128,498.9
1593297924,A,-82.4093347,36.363099,499
1593297924,A,-82.4093133,36.3630852,499.1
1593297925,A,-82.409292,36.3630712,499.2
1593297925,A,-82.4092707,36.3630575,499.3
1593297925,A,-82.4092492,36.3630435,499.3
1593297925,A,-82.4092277,36.3630297,499.4
1593297925,A,-82.4092062,36.3630157,499.5
1593297925,A,-82.4091845,36.3630015,499.6
1593297925,A,-82.4091628,36.3629877,499.7
1593297925,A,-82.4091412,36.3629738,499.8
1593297925,A,-82.4091195,36.36296,499.8
1593297925,A,-82.4090978,36.362946,499.9
1593297926,A,-82.4090762,36.3629322,500
1593297926,A,-82.4090543,36.3629182,500.1
1593297926,A,-82.4090327,36.3629043,500.2
1593297926,A,-82.409011,36.3628905,500.3
1593297926,A,-82.4089895,36.3628767,500.3
1593297926,A,-82.4089677,36.362863,500.4
1593297926,A,-82.4089462,36.3628497,500.5
1593297926,A,-82.4089245,36.3628358,500.6
1593297926,A,-82.408903,36.3628223,500.7
1593297926,A,-82.4088813,36.3628087,500.8
1593297927,A,-82.4088598,36.3627947,500.9
1593297927,A,-82.4088383,36.3627805,501
1593297927,A,-82.4088168,36.3627667,501.1
1593297927,A,-82.4087953,36.3627527,501.2
1593297927,A,-82.408774,36.362739,501.3
1593297927,A,-82.4087525,36.3627252,501.3
1593297927,A,-82.4087312,36.3627115,501.5
1593297927,A,-82.4087098,36.3626977,501.5
1593297927,A,-82.4086885,36.3626842,501.6
1593297927,A,-82.408667,36.3626707,501.7
1593297928,A,-82.4086457,36.362657,501.9
1593297928,A,-82.4086243,36.3626437,501.9
1593297928,A,-82.408603,36.3626302,502.1
1593297928,A,-82.4085818,36.3626165,502.1
1593297928,A,-82.4085603,36.3626027,502.2
1593297928,A,-82.4085392,36.362589,502.4
1593297928,A,-82.4085178,36.3625753,502.4
1593297928,A,-82.4084967,36.3625618,502.5
1593297928,A,-82.4084753,36.3625482,502.6
1593297928,A,-82.4084543,36.3625345,502.7
1593297929,A,-82.4084328,36.362521,502.8
1593297929,A,-82.4084122,36.3625073,502.9
1593297929,A,-82.4083913,36.3624937,502.9
1593297929,A,-82.4083703,36.36248,503
1593297929,A,-82.4083493,36.3624665,503.1
1593297929,A,-82.4083285,36.3624532,503.2
1593297929,A,-82.4083073,36.3624402,503.3
1593297929,A,-82.4082865,36.3624272,503.5
1593297929,A,-82.4082655,36.3624138,503.6
1593297929,A,-82.4082448,36.362401,503.6
1593297930,A,-82.4082242,36.3623877,503.7
1593297930,A,-82.4082037,36.3623742,503.7
1593297930,A,-82.4081832,36.3623608,503.8
1593297930,A,-82.4081625,36.3623475,503.9
1593297930,A,-82.408142,36.3623343,504
1593297930,A,-82.4081218,36.3623212,504
1593297930,A,-82.4081015,36.3623078,504.1
1593297930,A,-82.4080815,36.3622947,504.2
1593297930,A,-82.4080613,36.3622815,504.2
1593297930,A,-82.4080415,36.3622687,504.3
1593297931,A,-82.4080218,36.362256,504.4
1593297931,A,-82.4080025,36.3622435,504.5
1593297931,A,-82.4079828,36.3622307,504.5
1593297931,A,-82.4079635,36.3622183,504.6
1593297931,A,-82.407944,36.362206,504.6
1593297931,A,-82.4079243,36.3621935,504.7
1593297931,A,-82.407905,36.3621807,504.8
1593297931,A,-82.4078857,36.3621682,504.9
1593297931,A,-82.4078663,36.3621562,504.9
1593297931,A,-82.4078467,36.3621435,504.9
1593297932,A,-82.4078273,36.362131,505
1593297932,A,-82.4078078,36.3621183,505.1
1593297932,A,-82.4077882,36.3621058,505.1
1593297932,A,-82.4077687,36.3620935,505.2
1593297932,A,-82.407749,36.3620812,505.2
1593297932,A,-82.4077293,36.3620687,505.3
1593297932,A,-82.4077098,36.3620562,505.4
1593297932,A,-82.4076902,36.362044,505.4
1593297932,A,-82.4076707,36.3620317,505.5
1593297932,A,-82.407651,36.3620193,505.5
1593297933,A,-82.4076313,36.3620067,505.6
1593297933,A,-82.4076118,36.361994,505.7
1593297933,A,-82.407592,36.3619818,505.7
1593297933,A,-82.4075723,36.3619697,505.8
1593297933,A,-82.4075523,36.3619573,505.8
1593297933,A,-82.4075325,36.361945,505.9
1593297933,A,-82.4075132,36.3619327,506
1593297933,A,-82.4074932,36.3619202,506
1593297933,A,-82.4074735,36.361908,506.1
1593297933,A,-82.4074538,36.3618953,506.1
1593297934,A,-82.407434,36.3618827,506.2
1593297934,A,-82.4074145,36.3618705,506.2
1593297934,A,-82.4073945,36.361858,506.3
1593297934,A,-82.4073747,36.3618457,506.3
1593297934,A,-82.4073548,36.3618332,506.4
1593297934,A,-82.407335,36.3618207,506.4
1593297934,A,-82.4073152,36.3618083,506.5
1593297934,A,-82.4072952,36.3617957,506.6
1593297934,A,-82.4072753,36.3617832,506.6
1593297934,A,-82.4072555,36.3617707,506.7
1593297935,A,-82.4072357,36.3617578,506.7
1593297935,A,-82.4072157,36.3617453,506.7
1593297935,A,-82.4071957,36.361733,506.8
1593297935,A,-82.407176,36.36172,506.9
1593297935,A,-82.407156,36.3617073,506.9
1593297935,A,-82.4071362,36.3616945,506.9
1593297935,A,-82.4071162,36.3616813,507
1593297935,A,-82.4070963,36.3616685,507
1593297935,A,-82.4070762,36.361656,507
1593297935,A,-82.4070562,36.3616432,507.1
1593297936,A,-82.407036,36.3616303,507.1
1593297936,A,-82.4070162,36.3616173,507.1
1593297936,A,-82.4069958,36.3616043,507.1
1593297936,A,-82.4069757,36.3615913,507.2
1593297936,A,-82.4069555,36.3615783,507.2
1593297936,A,-82.4069353,36.3615652,507.2
1593297936,A,-82.4069152,36.3615522,507.3
1593297936,A,-82.4068948,36.361539,507.3
1593297936,A,-82.4068745,36.3615258,507.3
1593297936,A,-82.4068543,36.3615123,507.3
1593297937,A,-82.4068342,36.3614993,507.4
1593297937,A,-82.4068135,36.3614865,507.4
1593297937,A,-82.4067932,36.3614735,507.4
1593297937,A,-82.4067727,36.3614605,507.5
1593297937,A,-82.4067525,36.3614473,507.5
1593297937,A,-82.4067323,36.3614343,507.5
1593297937,A,-82.4067123,36.3614213,507.6
1593297937,A,-82.406692,36.3614085,507.6
1593297937,A,-82.4066718,36.3613957,507.6
1593297937,A,-82.4066517,36.3613827,507.6
1593297938,A,-82.4066317,36.3613702,507.7
1593297938,A,-82.4066118,36.3613573,507.7
1593297938,A,-82.4065918,36.3613445,507.7
1593297938,A,-82.406572,36.361332,507.7
1593297938,A,-82.406552,36.3613192,507.7
1593297938,A,-82.4065322,36.3613065,507.7
1593297938,A,-82.4065123,36.3612937,507.7
1593297938,A,-82.4064925,36.3612817,507.7
1593297938,A,-82.4064727,36.3612687,507.8
1593297938,A,-82.4064528,36.3612562,507.8
1593297939,A,-82.4064332,36.3612437,507.8
1593297939,A,-82.4064137,36.3612308,507.8
1593297939,A,-82.4063937,36.3612183,507.8
1593297939,A,-82.4063742,36.3612057,507.9
1593297939,A,-82.4063543,36.361193,507.8
1593297939,A,-82.4063348,36.3611803,507.8
1593297939,A,-82.4063152,36.3611677,507.8
1593297939,A,-82.4062955,36.3611552,507.8
1593297939,A,-82.4062762,36.3611428,507.8
1593297939,A,-82.4062563,36.3611303,507.8
1593297940,A,-82.4062368,36.3611178,507.9
1593297940,A,-82.4062175,36.3611058,507.9
1593297940,A,-82.4061982,36.3610935,507.9
1593297940,A,-82.4061787,36.3610808,507.8
1593297940,A,-82.4061593,36.3610685,507.9
1593297940,A,-82.4061398,36.3610558,507.8
1593297940,A,-82.4061205,36.3610433,507.8
1593297940,A,-82.4061008,36.3610312,507.8
1593297940,A,-82.4060817,36.3610187,507.8
1593297940,A,-82.4060622,36.3610065,507.8
1593297941,A,-82.406043,36.3609942,507.8
